,Country_Region,Confirmed,Deaths
3695,US,4733,52
3696,US,1476,15
3697,US,2338,42
3698,US,8477,131
3699,US,2736,34
3700,US,97880,446
3701,US,8936,102
3702,US,3377,45
3703,US,24408,327
3704,US,3172,48
3705,US,11883,80
3706,US,4909,31
3707,US,4575,126
3708,US,2065,28
3709,US,7908,148
3710,US,2530,55
3711,US,25147,189
3712,US,3258,40
3713,US,5973,45
3714,US,49863,459
3715,US,54074,548
3716,US,2909,78
3717,US,2717,47
3718,US,1618,22
3719,US,5684,103
3720,US,9192,109
3721,US,7068,133
3722,US,4991,123
3723,US,10239,153
3724,US,19155,249
3725,US,2983,31
3726,US,26689,368
3727,US,6387,67
3728,US,6813,89
3729,US,11593,90
3730,US,128090,838
3731,US,10977,170
3732,US,5204,51
3733,US,1374,14
3734,US,2922,30
3735,US,61627,553
3736,US,28387,321
3737,US,28360,440
3738,US,5195,93
3739,US,19153,273
3740,US,9531,139
3741,US,7305,113
3742,US,7697,143
3743,US,14037,263
3744,US,12097,203
3745,US,4502,108
3746,US,35404,342
3747,US,42180,202
3748,US,7855,136
3749,US,24459,346
3750,US,1433,23
3751,US,2926,48
3752,US,14063,224
3753,US,0,0
3754,US,115797,947
3755,US,11498,186
3756,US,18222,261
3757,US,7554,87
3758,US,4345,60
3759,US,2326,25
3760,US,8175,102
3761,US,13968,237
3762,US,9713,173
3763,US,13861,136
3764,US,5647,45
3765,US,5606,86
3766,US,62042,539
3767,US,24171,196
3768,US,15809,209
3769,US,111985,1047
3770,US,751,18
3771,US,27341,424
3772,US,13333,87
3773,US,1825,34
3774,US,36835,227
3775,US,503,7
3776,US,31652,239
3777,US,20465,253
3778,US,13800,124
3779,US,4899,34
3780,US,549865,3512
3781,US,52668,414
3782,US,10399,93
3783,US,4321,61
3784,US,20865,298
3785,US,2680,30
3786,US,15817,183
3787,US,10644,138
3788,US,4853,79
3789,US,2979,44
3790,US,245455,1612
3791,US,1994,3
3792,US,28814,272
3793,US,1798,17
3794,US,205341,1448
3795,US,154262,1686
3796,US,10107,167
3797,US,63339,525
3798,US,3297,6
3799,US,640,11
3800,US,19032,175
3801,US,49230,375
3802,US,10115,102
3803,US,83734,863
3804,US,5974,77
3805,US,45181,347
3806,US,8730,103
3807,US,4995,52
3808,US,6303,112
3809,US,34011,443
3810,US,2265,15
3811,US,2717,54
3812,US,2506,20
3813,US,16797,236
3814,US,2538,23
3815,US,4824,61
3816,US,12903,184
3817,US,7326,75
3818,US,8411,152
3819,US,5726,52
3820,US,26120,290
3821,US,8807,159
3822,US,18459,152
3823,US,59239,881
3824,US,6972,96
3825,US,7288,97
3826,US,12944,205
3827,US,20364,208
3828,US,11225,171
3829,US,8945,111
3830,US,7475,88
3831,US,23430,291
3832,US,10268,167
3833,US,10010,135
3834,US,31434,218
3835,US,5911,50
3836,US,5229,79
3837,US,9376,115
3838,US,13888,199
3839,US,2361,25
3840,US,2504,39
3841,US,2571,36
3842,US,11090,145
3843,US,20885,221
3844,US,30655,424
3845,US,12101,100
3846,US,3046,34
3847,US,4510,52
3848,US,3878,66
3849,US,5961,84
3850,US,2444,39
3851,US,2729,33
3852,US,904,9
3853,US,8979,106
3854,US,11718,149
3855,US,2863,38
3856,US,5466,98
